Timestamp,Total Brightness (lux),Infrared Light,Visible Light,Full Spectrum
2024-11-22 09:33:41,132.40742400000002,762,49939731,49940493
2024-11-22 09:33:46,129.835392,746,48891129,48891875
2024-11-22 09:33:51,186.63552,1085,71108398,71109483
2024-11-22 09:33:56,161.13715200000001,951,62326332,62327283
2024-11-22 09:34:01,176.634624,1062,69600994,69602056
2024-11-22 09:34:06,190.04313599999998,1118,73271128,73272246
